tract,cbsa,cbsaname,cbsapop,cbsasamp1,cbsasamp2,cbsasamp3,nwhite,nblack,nhisp,nasian,povyes,povno,edlow,edhs,edsome,edba,owner,renter,twoparent,singparent,nokids,age0017,age1859,age60up,race_pop,pr_white,pr_black,pr_hisp,pr_asian,pov_pop,pr_pov,singpar_pop,pr_singpar,age_pop,pr_adult_nohs,hsplus
6001444601,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1673,223,1250,1465,230,4345,318,1012,949,782,1198,208,524,86,786,1117,2743,901,4611,0.36282802,0.048362611,0.27109087,0.317718499,4575,0.050273224,1396,0.061604585,3644,0.08726674,2743
6001402800,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,793,1479,276,728,755,1191,356,373,451,504,103,1922,24,95,1211,370,2157,818,3276,0.242063492,0.451465201,0.084249084,0.222222222,1946,0.387975334,1330,0.071428571,2975,0.119663866,1328
6081612700,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1872,8,93,170,24,2054,17,97,186,1116,698,89,268,29,462,613,1039,550,2143,0.873541764,0.003733084,0.043397107,0.079328045,2078,0.011549567,759,0.038208169,1589,0.010698553,1399
6075025900,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,787,478,797,2118,556,3919,696,855,719,834,995,332,306,165,770,796,2484,981,4180,0.188277512,0.114354067,0.190669856,0.506698565,4475,0.12424581,1241,0.132957293,3465,0.200865801,2408
6013313206,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,724,931,3282,686,1635,4826,1352,1038,919,219,895,623,615,322,634,1816,3261,680,5623,0.128756891,0.16556998,0.583674195,0.121998933,6461,0.253056802,1571,0.20496499,3941,0.343060137,2176
6013333200,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3771,181,1166,643,414,5551,416,881,1345,1427,1693,464,506,180,1487,1254,3343,1329,5761,0.654573859,0.031418157,0.202395417,0.111612567,5965,0.069404862,2173,0.082834791,4672,0.089041096,3653
6081602100,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,327,82,2618,530,264,3055,741,475,323,441,266,692,295,72,550,933,2273,409,3557,0.091931403,0.023053135,0.736013495,0.149001968,3319,0.079542031,917,0.078516903,2682,0.276286353,1239
6041121200,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,4247,173,513,453,142,5537,732,1046,1117,2509,1392,1025,592,185,1819,1316,3084,1201,5386,0.788525808,0.032120312,0.095246937,0.084106944,5679,0.025004402,2596,0.071263482,4285,0.170828471,4672
6013343001,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3511,82,700,367,230,4695,89,505,907,2021,1103,950,479,173,1459,976,2851,979,4660,0.753433476,0.017596567,0.150214592,0.078755365,4925,0.046700508,2111,0.081951682,3830,0.023237598,3433
6013314102,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1082,769,3218,737,815,4931,1141,929,996,339,1244,423,582,254,752,1725,3504,694,5806,0.186358939,0.13244919,0.55425422,0.126937651,5746,0.1418378,1588,0.159949622,4198,0.271796093,2264
6081605400,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3576,116,1308,952,1107,5292,505,759,1163,2117,1122,1501,558,177,1903,1406,3864,877,5952,0.600806452,0.019489247,0.219758065,0.159946237,6399,0.172995781,2638,0.067096285,4741,0.106517612,4039
6001423602,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2421,173,504,2317,2166,3189,51,24,337,1486,309,2203,119,81,2125,181,5144,334,5415,0.447091413,0.031948292,0.093074792,0.427885503,5355,0.404481793,2325,0.03483871,5478,0.009309967,1847
6075013300,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3424,74,194,441,104,3690,51,118,566,2180,869,1018,333,18,1343,752,2260,1220,4133,0.828453908,0.01790467,0.046939269,0.106702153,3794,0.027411703,1694,0.010625738,3480,0.014655172,2864
6013351101,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2310,21,51,194,56,2718,83,492,825,1374,1774,125,0,0,1920,5,162,2427,2576,0.89673913,0.008152174,0.019798137,0.075310559,2774,0.020187455,1920,0,2589,0.03205871,2691
6013313205,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,395,136,807,358,244,1640,247,358,487,112,389,107,199,90,245,476,1095,153,1696,0.232900943,0.080188679,0.475825472,0.211084906,1884,0.129511677,534,0.168539326,1248,0.197916667,957
6075020600,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3545,128,460,429,378,4574,90,273,563,3488,954,1640,266,68,2363,383,3669,659,4562,0.77707146,0.028057869,0.100832968,0.094037703,4952,0.076332795,2697,0.0252132,4328,0.020794824,4324
6013346203,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,3188,31,234,267,170,3694,26,238,752,1716,1306,112,388,96,941,973,1884,981,3720,0.856989247,0.008333333,0.062903226,0.071774194,3864,0.043995859,1425,0.067368421,2865,0.009075044,2706
6001432501,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,963,306,1762,1713,539,4309,743,942,1001,559,824,638,467,151,793,1228,2787,824,4744,0.202993255,0.06450253,0.371416526,0.36108769,4848,0.111179868,1411,0.1070163,3611,0.205760177,2502
6075026303,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,528,107,1227,2654,502,4588,945,966,886,898,792,441,322,84,822,870,2700,981,4516,0.116917626,0.023693534,0.27170062,0.58768822,5090,0.098624754,1228,0.068403909,3681,0.256723716,2750
6013352102,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,4179,100,409,692,16,4790,36,190,558,2534,1684,129,656,78,1012,1347,2951,1288,5380,0.776765799,0.018587361,0.076022305,0.128624535,4806,0.003329172,1746,0.04467354,4239,0.008492569,3282
6001440331,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,337,274,591,1881,64,2908,276,451,348,768,442,457,347,84,387,884,1910,411,3083,0.109309114,0.088874473,0.1916964,0.610120013,2972,0.02153432,818,0.102689487,2321,0.118914261,1567
6075021400,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2333,55,393,354,232,3187,77,147,388,2171,676,943,174,102,1453,430,2365,469,3135,0.744178628,0.01754386,0.125358852,0.11291866,3419,0.067856098,1729,0.058993638,2834,0.027170078,2706
6013313103,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,2227,1453,2535,1300,602,6757,664,1470,1561,960,1604,910,492,363,1530,1894,4652,1177,7515,0.296340652,0.19334664,0.337325349,0.172987359,7359,0.081804593,2385,0.152201258,5829,0.113913193,3991
6001404000,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1616,475,304,334,258,2474,134,162,615,1547,476,1226,117,53,1554,253,2152,414,2729,0.5921583,0.174056431,0.111396116,0.122389154,2732,0.09443631,1724,0.030742459,2566,0.052221356,2324
6013317000,41860,"San Francisco-Oakland-Fremont, CA CBSA",4335391,1,1,0,1597,75,326,81,326,1644,175,341,672,320,356,639,132,70,856,349,1453,342,2079,0.768157768,0.036075036,0.156806157,0.038961039,1970,0.165482234,1058,0.066162571,1795,0.097493036,1333
